form_type	cik	company_name	date_filed	file_name
ANNLRPT/A	1	1	1	1
APP NTC	956	956	956	956
APP ORDR	908	908	908	908
APP WD	868	868	868	868
APP WD/A	23	23	23	23
APP WDG	50	50	50	50
ARS	32296	32296	32296	32296
ARS/A	32	32	32	32
AW	2761	2761	2761	2761
AW WD	90	90	90	90
BDCO	332	332	332	332
BW-2	2	2	2	2
C	192	192	192	192
C-U	35	35	35	35
C-W	15	15	15	15
C/A	171	171	171	171
C/A-W	4	4	4	4
CB	1914	1914	1914	1914
CB/A	1558	1558	1558	1558
CERT	2	2	2	2
CERTAMX	1329	1329	1329	1329
CERTARCA	348	348	348	348
CERTBATS	21	21	21	21
CERTBSE	9	9	9	9
CERTCSE	2	2	2	2
CERTNAS	2431	2431	2431	2431
CERTNYS	4708	4708	4708	4708
CERTPAC	530	530	530	530
CFPORTAL	22	22	22	22
CFPORTAL-W	1	1	1	1
CFPORTAL/A	47	47	47	47
CORRESP	158192	158192	158192	158192
CT ORDER	12317	12317	12317	12317
D	157243	157243	157243	157243
D/A	108158	108158	108158	108158
DEF 14A	90980	90980	90980	90980
DEF 14C	8250	8250	8250	8250
DEF-OC	2	2	2	2
DEFA14A	62560	62560	62560	62560
DEFA14C	283	283	283	283
DEFC14A	1604	1604	1604	1604
DEFC14C	17	17	17	17
DEFM14A	2984	2984	2984	2984
DEFM14C	219	219	219	219
DEFN14A	333	333	333	333
DEFR14A	3014	3014	3014	3014
DEFR14C	285	285	285	285
DEL AM	753	753	753	753
DFAN14A	14223	14223	14223	14223
DFRN14A	242	242	242	242
DOS	29	29	29	29
DOS/A	35	35	35	35
DOSLTR	12	12	12	12
DRS	933	933	933	933
DRS/A	1250	1250	1250	1250
DRSLTR	806	806	806	806
DSTRBRPT	144	144	144	144
DSTRBRPT/A	15	15	15	15
EBRD	10	10	10	10
EBRD/A	1	1	1	1
EFFECT	97432	97432	97432	97432
F-1	904	904	904	904
F-1/A	2630	2630	2630	2630
F-10	759	759	759	759
F-10/A	913	913	913	913
F-10EF	4	4	4	4
F-10POS	47	47	47	47
F-1MEF	101	101	101	101
F-2	10	10	10	10
F-2/A	19	19	19	19
F-3	2363	2363	2363	2363
F-3/A	3659	3659	3659	3659
F-3ASR	1448	1448	1448	1448
F-3D	42	42	42	42
F-3DPOS	17	17	17	17
F-3MEF	22	22	22	22
F-4	2818	2818	2818	2818
F-4 POS	27	27	27	27
F-4/A	5611	5611	5611	5611
F-4MEF	5	5	5	5
F-6	2120	2120	2120	2120
F-6 POS	1710	1710	1710	1710
F-6/A	137	137	137	137
F-6EF	8500	8500	8500	8500
F-7	30	30	30	30
F-7 POS	5	5	5	5
F-7/A	8	8	8	8
F-8	27	27	27	27
F-8 POS	6	6	6	6
F-8/A	45	45	45	45
F-80	20	20	20	20
F-80/A	18	18	18	18
F-80POS	10	10	10	10
F-9	115	115	115	115
F-9 POS	5	5	5	5
F-9/A	100	100	100	100
